[23:06:55]	Trainee RG-3506 used command '/ToggleRaise'.
[23:07:18]	Petty Officer Third Class Karissa Novar has taken 41 damage from Trainee RG-3506.
[23:07:19]	Trainee RG-3506 entered observer.
[23:07:20]	Trainee RG-3506 exited observer at their location.
[23:07:25]	Trainee RG-3506 used command '/ToggleRaise'.
[23:07:31]	Trainee RG-3506 entered observer.
[23:07:32]	Trainee RG-3506 exited observer at their location.
[23:07:35]	Petty Officer Third Class Karissa Novar has taken 24 damage from Trainee RG-3506.
[23:07:35]	Trainee RG-3506 entered observer.
[23:07:37]	Trainee RG-3506 exited observer at their location.
[23:07:38]	Petty Officer Third Class Karissa Novar has taken 24 damage from Trainee RG-3506.
[23:07:41]	Trainee RG-3506 entered observer.
[23:07:42]	Trainee RG-3506 exited observer at their location.
[23:07:43]	Trainee RG-3506 used command '/ToggleRaise'.
[23:07:47]	Trainee RG-3506 used command '/ToggleRaise'.
[23:07:51]	Trainee RG-3506 entered observer.
[23:07:56]	Petty Officer Third Class Karissa Novar has taken 1000 damage from Trainee RG-3506.
[23:07:56]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_wristrocket.
[23:07:59]	Trainee RG-3506 used command '/ToggleRaise'.
[23:08:02]	Trainee RG-3506 exited observer at their location.
[23:08:38]	Trainee RG-3506 entered observer.
[23:08:42]	Trainee RG-3506 exited observer at their location.
[23:08:50]	Trainee RG-3506 entered observer.
[23:08:53]	Trainee RG-3506 exited observer at their location.
[23:08:53]	Trainee RG-3506 entered observer.
[23:08:53]	Trainee RG-3506 exited observer at their location.
[23:08:54]	Trainee RG-3506 entered observer.
[23:09:15]	Trainee RG-3506 exited observer at their location.
[23:09:32]	Trainee RG-3506 entered observer.
[23:10:10]	Trainee RG-3506 exited observer at their location.
[23:10:37]	Trainee RG-3506 entered observer.
[23:10:41]	Trainee RG-3506 exited observer at their location.
[23:10:42]	Trainee RG-3506 entered observer.
[23:10:42]	Trainee RG-3506 exited observer at their location.
[23:10:47]	Trainee RG-3506 entered observer.
[23:10:47]	Trainee RG-3506 exited observer at their location.
