[08:03:21]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:21]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:22]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:23]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:24]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:24]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:25]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:25]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with ix_hands.
[08:03:27]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:04:30]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:04:31]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:04:32]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:04:36]	Crewman Second Class Zeak Rold has taken 187 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:04:36]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with rw_sw_e11.
[08:04:37]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:04:50]	Crewman Second Class Zeak Rold ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[08:04:57]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:05:00]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:00]	kholtonwaggoner has connected.
[08:05:00]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
