[11:56:57]	Lieutenant Ezyn Linmer has spawned a 'Vehicle [974][prop_vehicle_prisoner_pod]'.
[11:57:07]	Lieutenant Ezyn Linmer has spawned a 'NPC [965][npc_vjks_blackholeheavyf]'.
[11:57:10]	Lieutenant Ezyn Linmer has spawned a 'NPC [965][npc_vjks_blackholeheavyf]'.
[11:57:16]	Lieutenant Ezyn Linmer has spawned a 'NPC [965][npc_vjks_blackholetrpf]'.
[11:57:17]	Lieutenant Ezyn Linmer has spawned a 'NPC [974][npc_vjks_strooper_jumpf_shadow]'.
[11:57:19]	Lieutenant Ezyn Linmer has spawned a 'NPC [965][npc_vjks_stroyalf]'.
[12:07:48]	FB|| light ROOM has connected.
[12:08:18]	FB|| light ROOM loaded the character 'Sergeant RT-9824'
[12:08:22]	[OOC] Sergeant RT-9824: yo
[12:13:05]	Lieutenant Ezyn Linmer has taken 23 damage from Sergeant RT-9824.
[12:13:05]	Lieutenant Ezyn Linmer has taken 30 damage from Sergeant RT-9824.
[12:13:06]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:06]	Lieutenant Ezyn Linmer has taken 24 damage from Sergeant RT-9824.
[12:13:08]	Lieutenant Ezyn Linmer has taken 173 damage from Sergeant RT-9824.
[12:13:09]	Lieutenant Ezyn Linmer has taken 30 damage from Sergeant RT-9824.
[12:13:09]	Lieutenant Ezyn Linmer has taken 189 damage from Sergeant RT-9824.
[12:13:10]	Lieutenant Ezyn Linmer has taken 31 damage from Sergeant RT-9824.
[12:13:10]	Lieutenant Ezyn Linmer has taken 25 damage from Sergeant RT-9824.
[12:13:11]	Lieutenant Ezyn Linmer has taken 175 damage from Sergeant RT-9824.
[12:13:11]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:12]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
[12:13:12]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:13]	Lieutenant Ezyn Linmer has taken 176 damage from Sergeant RT-9824.
[12:13:13]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
[12:13:14]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:14]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:15]	Lieutenant Ezyn Linmer has taken 185 damage from Sergeant RT-9824.
[12:13:15]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
