[17:06:06]	Dakota Oswalt has killed Dakota Oswalt.
[17:06:08]	CCA.C17-GRID.i1.59212 entered observer.
[17:06:10]	[ME] Dakota Oswalt: fuckign die again
[17:06:12]	[OOC] CCA.C17-GRID.i1.59212: roll for dying
[17:06:25]	[OOC] Dakota Oswalt: ii got 60
[17:06:27]	Dakota Oswalt rolled 735 out of 1000.
[17:06:27]	Dakota Oswalt used command '/Roll 1000'.
[17:06:30]	[OOC] Dakota Oswalt: nvm i got 735
[17:06:31]	[OOC] CCA.C17-GRID.i1.59212: you failed
[17:06:38]	Dakota Oswalt rolled 782462 out of 1000000.
[17:06:38]	Dakota Oswalt used command '/Roll 123192903912309123'.
[17:06:45]	[OOC] Dakota Oswalt: switch that back
[17:06:47]	[OOC] Dakota Oswalt: i actually got 782462
[17:06:52]	[OOC] CCA.C17-GRID.i1.59212: ah\
[17:07:03]	[OOC] Dakota Oswalt: im gonna pk the combine god
[17:07:07]	[OOC] CCA.C17-GRID.i1.59212: n o
[17:07:19]	[OOC] Dakota Oswalt: me and my hands, fresh with blood of gods disciple
[17:07:34]	[OOC] Dakota Oswalt: i will strike you down amphibian overlord
[17:07:39]	CCA.C17-GRID.i1.59212 used command '/PlyTransfer grid alien'.
[17:07:41]	[OOC] Dakota Oswalt: you will fear my wratth
[17:07:44]	[OOC] CCA.C17-GRID.i1.59212: you will not
[17:07:53]	[OOC] Dakota Oswalt: civvies always prevail
[17:07:57]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:07:59]	[OOC] Dakota Oswalt: Innocent Citizen...
[17:08:11]	[OOC] CCA.C17-GRID.i1.59212: i thought it took it off
[17:08:35]	[LOOC] Dakota Oswalt: make sure you click "wear" after you did it
[17:08:39]	[LOOC] Dakota Oswalt: swag
[17:08:40]	CCA.C17-GRID.i1.59212 entered observer.
[17:08:44]	[LOOC] Dakota Oswalt: i love fucking around with pac
[17:09:00]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:09:24]	CCA.C17-GRID.i1.59212 used command '/PlyTransfer grid civil'.
[17:10:01]	[LOOC] CCA.C17-GRID.i1.59212: get in
[17:10:04]	Dakota Oswalt opened the '' #655 container.
[17:10:05]	Dakota Oswalt closed the '' #655 container.
[17:10:05]	Dakota Oswalt opened the '' #655 container.
[17:10:07]	Dakota Oswalt closed the '' #655 container.
[17:10:14]	Dakota Oswalt opened the '' #655 container.
[17:10:15]	Dakota Oswalt closed the '' #655 container.
[17:10:27]	[OOC] CCA.C17-GRID.i1.59212: movement violgation?
[17:10:27]	Dakota Oswalt opened the '' #656 container.
[17:10:32]	Dakota Oswalt closed the '' #656 container.
[17:10:41]	[OOC] Dakota Oswalt: im a csgo movement player
[17:10:41]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:11:06]	CCA.C17-GRID.i1.59212 entered observer.
[17:11:06]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:11:29]	CCA.C17-GRID.i1.59212 entered observer.
[17:11:54]	Dakota Oswalt has taken 10 damage from npc_antlionguard.
[17:11:54]	Dakota Oswalt has taken 10 damage from npc_antlionguard.
[17:12:20]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:12:20]	Dakota Oswalt has taken 4 damage from Dakota Oswalt.
[17:12:20]	Dakota Oswalt has taken 6 damage from Dakota Oswalt.
[17:12:27]	[Y] Dakota Oswalt: GOD..
[17:12:29]	Dakota Oswalt has taken 49 damage from worldspawn.
[17:12:29]	Dakota Oswalt has taken 10 damage from npc_antlion.
[17:12:47]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:12:47]	CCA.C17-GRID.i1.59212 entered observer.
[17:12:49]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:12:50]	CCA.C17-GRID.i1.59212 has taken 1 damage from CCA.C17-GRID.i1.59212.
[17:12:50]	CCA.C17-GRID.i1.59212 entered observer.
[17:12:55]	Dakota Oswalt opened the '' #592 container.
[17:12:56]	Dakota Oswalt closed the '' #592 container.
[17:12:57]	CCA.C17-GRID.i1.59212 opened the '' #592 container.
[17:13:00]	CCA.C17-GRID.i1.59212 closed the '' #592 container.
[17:13:12]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:13:12]	Dakota Oswalt ran 'drop' on item 'Sparkling Consulate Water' (#10130)
[17:13:12]	Dakota Oswalt has lost a 'Sparkling Consulate Water' #10130.
[17:13:13]	CCA.C17-GRID.i1.59212 entered observer.
[17:13:14]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:13:27]	CCA.C17-GRID.i1.59212 ran 'Consume' on item 'Sparkling Consulate Water' (#10130)
[17:13:41]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:13:43]	Dakota Oswalt has taken 10000 damage from CCA.C17-GRID.i1.59212.
[17:13:43]	CCA.C17-GRID.i1.59212 has killed Dakota Oswalt with weapon_chargebow.
[17:13:54]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:13:55]	CCA.C17-GRID.i1.59212 entered observer.
[17:14:00]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:14:08]	[OOC] Dakota Oswalt: canonically these shenanigans are just dreams dakota is having
[17:14:26]	[OOC] CCA.C17-GRID.i1.59212: ngl that'd be hilarious
[17:14:45]	[OOC] Dakota Oswalt: discrete my ass
[17:16:31]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:16:51]	CCA.C17-GRID.i1.59212 used command '/Event heyy whats up sistas'.
[17:16:58]	CCA.C17-GRID.i1.59212 used command '/Event im here with another makeup tutorial'.
[17:17:26]	CCA.C17-GRID.i1.59212 used command '/Event today we'll be discussing how to get blood out of your gloves after you brutally beat 3 innocent citizens!'.
[17:17:35]	[Y] Dakota Oswalt: FUCK UP!
[17:17:56]	CCA.C17-GRID.i1.59212 used command '/Event oh what'.
[17:18:03]	CCA.C17-GRID.i1.59212 used command '/Event MOOOOM IM DOING A VIDEO!'.
[17:18:19]	CCA.C17-GRID.i1.59212 has spawned a 'NPC [1897][npc_combine_s]'.
[17:18:21]	CCA.C17-GRID.i1.59212 has taken 3 damage from npc_combine_s.
[17:18:27]	CCA.C17-GRID.i1.59212 used command '/Event OK JEEZ SORRY'.
[17:18:32]	CCA.C17-GRID.i1.59212 entered observer.
[17:18:50]	[ME] Dakota Oswalt: stares down at the floor in foreboding silence. He can't believe what he's witnessed.
[17:19:00]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:19:27]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:27]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:28]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:29]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:30]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:30]	Dakota Oswalt has taken 1 damage from worldspawn.
[17:19:31]	Dakota Oswalt ran 'equip' on item 'Citizen Filter' (#10128)
[17:19:59]	[OOC] CCA.C17-GRID.i1.59212: oops
[17:20:13]	[OOC] CCA.C17-GRID.i1.59212: what did i do??
[17:20:17]	[OOC] Dakota Oswalt: you tp'd me back to spawn
[17:20:20]	Dakota Oswalt ran 'take' on item 'Suitcase' (#10176)
[17:20:20]	Dakota Oswalt has gained a 'Suitcase' #10176.
[17:20:22]	CCA.C17-GRID.i1.59212 entered observer.
[17:20:23]	Dakota Oswalt ran 'drop' on item 'Suitcase' (#10176)
[17:20:23]	Dakota Oswalt has lost a 'Suitcase' #10176.
[17:20:48]	[Y] Dakota Oswalt: GO AWAY!
[17:20:57]	[ME] Dakota Oswalt: fucking crushes the plant.
[17:21:33]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:21:35]	CCA.C17-GRID.i1.59212 destroyed a 'Suitcase' #10176.
[17:21:56]	CCA.C17-GRID.i1.59212 entered observer.
[17:22:04]	CCA.C17-GRID.i1.59212 entered observer.
[17:22:14]	CCA.C17-GRID.i1.59212 entered observer.
[17:22:34]	Dakota Oswalt has taken 5 damage from pill_ent_phys.
[17:22:49]	Dakota Oswalt has taken 50 damage from CCA.C17-GRID.i1.59212.
[17:23:41]	CCA.C17-GRID.i1.59212 entered observer.
[17:23:53]	CCA.C17-GRID.i1.59212 has killed CCA.C17-GRID.i1.59212.
[17:23:53]	CCA.C17-GRID.i1.59212 has killed CCA.C17-GRID.i1.59212.
[17:23:53]	CCA.C17-GRID.i1.59212 destroyed a 'Combine Lock' #7576.
[17:23:53]	CCA.C17-GRID.i1.59212 destroyed a 'Combine Lock' #7577.
[17:23:53]	CCA.C17-GRID.i1.59212 destroyed a 'Combine Lock' #7574.
[17:23:53]	CCA.C17-GRID.i1.59212 destroyed a 'Combine Lock' #7575.
[17:24:01]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:24:03]	[OOC] CCA.C17-GRID.i1.59212: oh no the locks
[17:24:04]	CCA.C17-GRID.i1.59212 entered observer.
[17:24:23]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:24:28]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:29]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:30]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:31]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:32]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:32]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:32]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:32]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
