[23:18:55]	Bett Benneck entered observer.
[23:18:55]	Bett Benneck exited observer at their location.
[23:18:55]	Bett Benneck entered observer.
[23:19:09]	Bett Benneck exited observer at their location.
[23:19:14]	Bett Benneck has spawned a 'Entity [3222][ix_testent5]'.
[23:20:52]	Bett Benneck entered observer.
[23:21:07]	Bett Benneck exited observer at their location.
[23:21:08]	Bett Benneck entered observer.
[23:21:08]	Bett Benneck exited observer at their location.
[23:21:10]	Bett Benneck entered observer.
[23:21:20]	Bett Benneck exited observer at their location.
[23:21:21]	Bett Benneck entered observer.
[23:21:23]	Bett Benneck exited observer at their location.
[23:21:42]	Bett Benneck entered observer.
[23:21:43]	Bett Benneck exited observer at their location.
[23:21:51]	Bett Benneck entered observer.
[23:21:53]	Bett Benneck exited observer at their location.
[23:21:55]	Bett Benneck entered observer.
[23:22:07]	Bett Benneck exited observer at their location.
[23:22:07]	Bett Benneck entered observer.
[23:22:09]	Bett Benneck exited observer at their location.
[23:22:58]	Bett Benneck has spawned a 'Entity [3225][ix_testent5]'.
[23:23:06]	Bett Benneck entered observer.
[23:23:10]	Bett Benneck exited observer at their location.
[23:23:11]	Bett Benneck entered observer.
[23:23:12]	Bett Benneck exited observer at their location.
[23:23:14]	Bett Benneck entered observer.
[23:23:21]	Bett Benneck exited observer at their location.
[23:23:23]	Bett Benneck has spawned a 'Entity [3225][ix_testent5]'.
[23:23:32]	Bett Benneck entered observer.
[23:23:33]	Bett Benneck exited observer at their location.
[23:23:33]	Bett Benneck entered observer.
[23:23:33]	Bett Benneck exited observer at their location.
[23:23:34]	Bett Benneck entered observer.
[23:23:34]	Bett Benneck exited observer at their location.
[23:25:46]	Bett Benneck entered observer.
[23:25:58]	Bett Benneck exited observer at their location.
[23:26:02]	Bett Benneck entered observer.
[23:26:04]	Bett Benneck exited observer at their location.
[23:26:04]	Bett Benneck entered observer.
[23:26:05]	Bett Benneck exited observer at their location.
[23:26:06]	Bett Benneck entered observer.
[23:26:07]	Bett Benneck exited observer at their location.
[23:26:07]	Bett Benneck entered observer.
[23:26:07]	Bett Benneck exited observer at their location.
[23:26:11]	Bett Benneck entered observer.
[23:26:11]	Bett Benneck exited observer at their location.
[23:26:12]	Bett Benneck entered observer.
[23:26:14]	Bett Benneck exited observer at their location.
[23:26:46]	Bett Benneck entered observer.
[23:27:25]	Bett Benneck exited observer at their location.
[23:27:28]	Bett Benneck entered observer.
[23:27:30]	Bett Benneck exited observer at their location.
[23:27:31]	Bett Benneck has spawned a 'Entity [3229][ix_testent5]'.
[23:30:21]	Bett Benneck entered observer.
[23:30:21]	Bett Benneck exited observer at their location.
[23:31:14]	Bett Benneck entered observer.
[23:31:17]	Bett Benneck exited observer at their location.
[23:31:22]	Bett Benneck entered observer.
[23:31:44]	Bett Benneck exited observer at their location.
[23:31:45]	Bett Benneck entered observer.
[23:31:58]	Bett Benneck exited observer at their location.
[23:31:58]	Bett Benneck entered observer.
[23:32:19]	Bett Benneck exited observer at their location.
[23:32:22]	Bett Benneck entered observer.
[23:34:36]	Bett Benneck exited observer at their location.
[23:34:37]	Bett Benneck entered observer.
[23:34:44]	Bett Benneck exited observer at their location.
[23:34:45]	Bett Benneck entered observer.
[23:34:47]	Bett Benneck exited observer at their location.
[23:58:47]	matt saton (STEAM_0:1:53097688) has disconnected.
