[18:05:51]	Jeremy Charleston used command '/CharDesc Born and raised in Boston, Massachusetts, the Scout, real name Jeremy, is a fast-running scrapper with a baseball bat and a snarky "in-your-face" attitude. He is the fastest and most mobile mercenary on the battlefield unassisted. Born in 1977 april 4th, 5'10 Race caucasian.       "Grass grows, birds fly, sun shines, and brother, I hurt people."―Scout'.
[18:06:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[18:06:53]	[OOC] CCA.C14-GRID.i3.36307: chief i gotta show you something
[18:07:39]	[OOC] CCA.C14-GRID.i3.36307: where are you
[18:07:49]	[OOC] Jeremy Charleston: out side
[18:08:00]	[OOC] Jeremy Charleston: im at the train station
[18:08:01]	[OOC] CCA.C14-GRID.i3.36307: come to the lenin statue i wanna show you something
[18:08:05]	[OOC] CCA.C14-GRID.i3.36307: oh
[18:08:27]	[OOC] Jeremy Charleston: i need card
[18:08:33]	[OOC] CCA.C14-GRID.i3.36307: is this you
[18:08:42]	[OOC] Jeremy Charleston: dont see you
[18:08:43]	CCA.C14-GRID.i3.36307 ran 'drop' on item 'Ball packed inthe box' (#27823)
[18:08:43]	CCA.C14-GRID.i3.36307 has lost a 'Ball packed inthe box' #27823.
[18:08:46]	CCA.C14-GRID.i3.36307 ran 'take' on item 'Ball packed inthe box' (#27823)
[18:08:46]	CCA.C14-GRID.i3.36307 has gained a 'Ball packed inthe box' #27823.
[18:08:47]	[OOC] Jeremy Charleston: im in train station
[18:09:31]	[LOOC] CCA.C14-GRID.i3.36307: here
[18:09:36]	CCA.C14-GRID.i3.36307 ran 'drop' on item 'Ball packed inthe box' (#27823)
[18:09:36]	CCA.C14-GRID.i3.36307 has lost a 'Ball packed inthe box' #27823.
[18:09:38]	Jeremy Charleston ran 'take' on item 'Ball packed inthe box' (#27823)
[18:09:38]	Jeremy Charleston has gained a 'Ball packed inthe box' #27823.
[18:09:42]	[LOOC] CCA.C14-GRID.i3.36307: drop it
[18:09:45]	[LOOC] CCA.C14-GRID.i3.36307: unpack it
[18:09:48]	Jeremy Charleston ran 'drop' on item 'Ball packed inthe box' (#27823)
[18:09:48]	Jeremy Charleston has lost a 'Ball packed inthe box' #27823.
[18:09:50]	Jeremy Charleston ran 'Unpack' on item 'Ball packed inthe box' (#27823)
[18:09:52]	[LOOC] CCA.C14-GRID.i3.36307: and run
[18:10:01]	[OOC] Jeremy Charleston: wtf
[18:10:13]	Jeremy Charleston ran 'drop' on item 'Relocation Coupon' (#28073)
[18:10:13]	Jeremy Charleston has lost a 'Relocation Coupon' #28073.
[18:10:17]	CCA.C14-GRID.i3.36307 ran 'take' on item 'Relocation Coupon' (#28073)
[18:10:17]	CCA.C14-GRID.i3.36307 has gained a 'Relocation Coupon' #28073.
[18:10:23]	Jeremy Charleston used command '/Apply'.
[18:11:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[18:11:24]	[ME] CCA.C14-GRID.i3.36307: taps on his pda
[18:11:24]	Jeremy Charleston ran 'take' on item 'Citizen ID' (#28074)
[18:11:24]	Jeremy Charleston has gained a 'Citizen ID' #28074.
[18:11:27]	CCA.C14-GRID.i3.36307 used command '/OldViewData jer'.
[18:12:14]	CCA.C14-GRID.i3.36307 opened the '' #1803 container.
[18:12:14]	CCA.C14-GRID.i3.36307 closed the '' #1803 container.
[18:12:16]	CCA.C14-GRID.i3.36307 opened the '' #1803 container.
[18:12:20]	CCA.C14-GRID.i3.36307 closed the '' #1803 container.
[18:13:00]	Mr. Chicken loaded the character 'Justin Bail'
[18:13:04]	Justin Bail ran 'View' on item 'Paper' (#27818)
[18:13:30]	Justin Bail opened the '' #2052 container.
[18:13:31]	Justin Bail closed the '' #2052 container.
[18:14:59]	Justin Bail ran 'View' on item 'Paper' (#27920)
[18:15:35]	Justin Bail ran 'View' on item 'Paper' (#27920)
[18:16:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[18:17:29]	Mr. Chicken loaded the character 'Jeremy Charleston'
[18:19:48]	Mr. Chicken loaded the character 'Le'Kurl'
[18:19:59]	Mr. Chicken loaded the character 'Crystal Seline'
[18:20:52]	Crystal Seline ran 'View' on item 'Notepad' (#27928)
[18:21:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[18:22:45]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28059)
[18:22:45]	Crystal Seline has lost a 'UU-Brand Chocolate' #28059.
[18:22:47]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28058)
[18:22:47]	Crystal Seline has lost a 'UU-Brand Chocolate' #28058.
[18:22:48]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28057)
[18:22:48]	Crystal Seline has lost a 'UU-Brand Chocolate' #28057.
[18:22:50]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28055)
[18:22:50]	Crystal Seline has lost a 'UU-Brand Chocolate' #28055.
[18:22:51]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28056)
[18:22:51]	Crystal Seline has lost a 'UU-Brand Chocolate' #28056.
[18:23:00]	Crystal Seline ran 'take' on item 'UU-Brand Chocolate' (#28056)
[18:23:00]	Crystal Seline has gained a 'UU-Brand Chocolate' #28056.
[18:23:03]	Crystal Seline ran 'take' on item 'UU-Brand Chocolate' (#28055)
[18:23:03]	Crystal Seline has gained a 'UU-Brand Chocolate' #28055.
[18:23:04]	Crystal Seline ran 'take' on item 'UU-Brand Chocolate' (#28057)
[18:23:04]	Crystal Seline has gained a 'UU-Brand Chocolate' #28057.
[18:23:06]	Crystal Seline ran 'take' on item 'UU-Brand Chocolate' (#28058)
[18:23:06]	Crystal Seline has gained a 'UU-Brand Chocolate' #28058.
[18:23:08]	Crystal Seline ran 'take' on item 'UU-Brand Chocolate' (#28059)
[18:23:08]	Crystal Seline has gained a 'UU-Brand Chocolate' #28059.
[18:23:14]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28056)
[18:23:14]	Crystal Seline has lost a 'UU-Brand Chocolate' #28056.
[18:23:19]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28055)
[18:23:19]	Crystal Seline has lost a 'UU-Brand Chocolate' #28055.
[18:23:22]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28059)
[18:23:22]	Crystal Seline has lost a 'UU-Brand Chocolate' #28059.
[18:23:24]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28058)
[18:23:24]	Crystal Seline has lost a 'UU-Brand Chocolate' #28058.
[18:23:26]	Crystal Seline ran 'drop' on item 'UU-Brand Chocolate' (#28057)
[18:23:26]	Crystal Seline has lost a 'UU-Brand Chocolate' #28057.
[18:23:30]	Crystal Seline ran 'drop' on item 'UU-Brand Cheese' (#28054)
[18:23:30]	Crystal Seline has lost a 'UU-Brand Cheese' #28054.
[18:23:34]	Crystal Seline ran 'drop' on item 'UU-Brand Cheese' (#28053)
[18:23:34]	Crystal Seline has lost a 'UU-Brand Cheese' #28053.
[18:23:38]	Crystal Seline ran 'drop' on item 'UU-Brand Chips' (#28052)
[18:23:38]	Crystal Seline has lost a 'UU-Brand Chips' #28052.
[18:23:42]	Crystal Seline ran 'drop' on item 'UU-Brand Bread' (#28060)
[18:23:42]	Crystal Seline has lost a 'UU-Brand Bread' #28060.
[18:23:45]	Crystal Seline ran 'take' on item 'UU-Brand Bread' (#28060)
[18:23:45]	Crystal Seline has gained a 'UU-Brand Bread' #28060.
[18:23:59]	Crystal Seline ran 'drop' on item 'UU-Brand Bran Flakes' (#28066)
[18:23:59]	Crystal Seline has lost a 'UU-Brand Bran Flakes' #28066.
[18:24:06]	Crystal Seline ran 'drop' on item 'UU-Brand Bran Flakes' (#28070)
