[17:32:29]	[OOC] Tom Muller: Mother russia
[17:33:15]	Francisco Fernández has spawned 'models/props_c17/FurnitureDrawer001a_Chunk03.mdl'.
[17:33:18]	Francisco Fernández has spawned 'models/props_c17/FurnitureDrawer001a_Chunk03.mdl'.
[17:34:46]	Francisco Fernández ran 'Edit' on item 'Notepad' (#4846)
[17:34:49]	[OOC] Franz Ferdinand: people are on
[17:34:59]	Painevan loaded the character 'CCA.C17-HELIX.i5.50299'
[17:35:06]	Francisco Fernández ran 'View' on item 'Notepad' (#4846)
[17:35:08]	Francisco Fernández ran 'drop' on item 'Notepad' (#4846)
[17:35:08]	Francisco Fernández has lost a 'Notepad' #4846.
[17:35:10]	[OOC] Tom Muller: Franz I going to possibly beat you up as pingeon
[17:35:18]	[OOC] CCA.C17-HELIX.i5.50299: Impossible
[17:35:28]	[OOC] Tom Muller: I have already killed one person
[17:35:35]	[OOC] Tom Muller: you understand me
[17:35:44]	Catman loaded the character 'Pingeon'
[17:36:18]	[OOC] CCA.C17-HELIX.i5.50299: You cant get a pill
[17:36:25]	[OOC] Pingeon: This is OOC beat up
[17:36:29]	CCA.C17-HELIX.i5.50299 has taken 7 damage from Pingeon.
[17:36:31]	CCA.C17-HELIX.i5.50299 has taken 7 damage from Pingeon.
[17:36:37]	[OOC] Pingeon: oops
[17:36:52]	Francisco Fernández opened the 'Cash Register' #213 container.
[17:36:53]	Catman loaded the character 'Tom Muller'
[17:36:53]	Francisco Fernández closed the 'Cash Register' #213 container.
[17:37:19]	Catman loaded the character 'John Muller'
[17:38:19]	Catman (STEAM_0:0:93262339) has disconnected.
[17:39:45]	Mr. Chief has connected.
[17:39:56]	Francisco Fernández has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[17:39:59]	CCA.C17-HELIX.i5.50299 has gained 10 tokens.
[17:40:19]	Francisco Fernández ran 'drop' on item 'Suitcase' (#4399)
[17:40:19]	Francisco Fernández has lost a 'Suitcase' #4399.
[17:40:19]	Francisco Fernández has lost a 'Notepad' #4848.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Pineapple' #4957.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Cereal' #4809.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Cereal' #4808.
[17:40:19]	Francisco Fernández has lost a 'Notepad' #4850.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Pear' #4953.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Pineapple' #4958.
[17:40:19]	Francisco Fernández has lost a 'UU Brand Cereal' #4810.
[17:40:41]	Francisco Fernández ran 'drop' on item 'Suitcase' (#896)
[17:40:41]	Francisco Fernández has lost a 'Suitcase' #896.
[17:40:41]	Francisco Fernández has lost a 'Ration' #4792.
[17:40:41]	Francisco Fernández has lost a 'UU Brand Pear' #4952.
[17:40:41]	Francisco Fernández has lost a 'Breen's Water' #4753.
[17:40:41]	Francisco Fernández has lost a 'UU Brand Pear' #4951.
[17:40:41]	Francisco Fernández has lost a 'Breen's Water' #3909.
[17:40:41]	Francisco Fernández has lost a 'Breen's Water' #3907.
[17:40:41]	Francisco Fernández has lost a 'Supplements' #3906.
[17:40:41]	Francisco Fernández has lost a 'Ration' #4936.
[17:40:42]	Francisco Fernández ran 'drop' on item 'Suitcase' (#4971)
[17:40:42]	Francisco Fernández has lost a 'Suitcase' #4971.
[17:40:42]	Francisco Fernández has lost a 'UU Brand Banana' #4795.
[17:40:42]	Francisco Fernández has lost a 'UU Brand Apple' #4424.
[17:40:42]	Francisco Fernández has lost a 'Milk Carton' #4412.
[17:40:42]	Francisco Fernández has lost a 'UU Brand Banana' #4796.
[17:40:42]	Francisco Fernández has lost a 'Melon' #4420.
[17:40:42]	Francisco Fernández has lost a 'Milk Carton' #4406.
[17:40:44]	Francisco Fernández ran 'take' on item 'Suitcase' (#896)
[17:40:44]	Francisco Fernández has gained a 'Suitcase' #896.
[17:40:44]	Francisco Fernández has gained a 'Ration' #4792.
[17:40:44]	Francisco Fernández has gained a 'UU Brand Pear' #4952.
[17:40:44]	Francisco Fernández has gained a 'Breen's Water' #4753.
[17:40:44]	Francisco Fernández has gained a 'UU Brand Pear' #4951.
[17:40:44]	Francisco Fernández has gained a 'Breen's Water' #3909.
[17:40:44]	Francisco Fernández has gained a 'Breen's Water' #3907.
[17:40:44]	Francisco Fernández has gained a 'Supplements' #3906.
[17:40:44]	Francisco Fernández has gained a 'Ration' #4936.
[17:41:00]	Francisco Fernández ran 'drop' on item 'Suitcase' (#896)
[17:41:00]	Francisco Fernández has lost a 'Suitcase' #896.
[17:41:01]	Francisco Fernández has lost a 'Ration' #4792.
[17:41:01]	Francisco Fernández has lost a 'UU Brand Pear' #4952.
[17:41:01]	Francisco Fernández has lost a 'Breen's Water' #4753.
[17:41:01]	Francisco Fernández has lost a 'UU Brand Pear' #4951.
[17:41:01]	Francisco Fernández has lost a 'Breen's Water' #3909.
[17:41:01]	Francisco Fernández has lost a 'Breen's Water' #3907.
[17:41:01]	Francisco Fernández has lost a 'Supplements' #3906.
[17:41:01]	Francisco Fernández has lost a 'Ration' #4936.
[17:41:03]	Francisco Fernández opened the '' #745 container.
[17:41:05]	Francisco Fernández has gained a 'UU Brand Corn' #4944.
[17:41:06]	Francisco Fernández ran 'Eat' on item 'UU Brand Corn' (#4944)
[17:41:06]	Francisco Fernández closed the '' #745 container.
[17:41:07]	Francisco Fernández opened the '' #745 container.
[17:41:08]	Francisco Fernández ran 'Eat' on item 'UU Brand Corn' (#4943)
[17:41:09]	Francisco Fernández closed the '' #745 container.
[17:41:40]	Francisco Fernández has spawned 'models/props_c17/chair_stool01a.mdl'.
[17:41:47]	Francisco Fernández used command '/ActSit'.
[17:41:51]	Mr. Chief loaded the character 'CCA.C17-JUDGE.i2.58102'
[17:41:52]	Francisco Fernández used command '/ExitAct'.
[17:41:53]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:42:09]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:42:43]	Painevan loaded the character 'Franz Ferdinand'
[17:43:11]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:43:24]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:43:25]	Francisco Fernández used command '/ActLean'.
[17:43:28]	Francisco Fernández used command '/ExitAct'.
[17:43:36]	CCA.C17-JUDGE.i2.58102 used command '/ToggleRaise'.
[17:44:00]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3134][item_box_buckshot]'.
[17:44:00]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3154][item_box_buckshot]'.
[17:44:00]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3161][item_box_buckshot]'.
[17:44:00]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3120][item_box_buckshot]'.
[17:44:01]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3162][item_box_buckshot]'.
[17:44:10]	CCA.C17-JUDGE.i2.58102 ran 'take' on item 'Suitcase' (#4971)
[17:44:10]	CCA.C17-JUDGE.i2.58102 has gained a 'Suitcase' #4971.
[17:44:10]	CCA.C17-JUDGE.i2.58102 has gained a 'UU Brand Banana' #4795.
[17:44:11]	CCA.C17-JUDGE.i2.58102 has gained a 'UU Brand Apple' #4424.
[17:44:11]	CCA.C17-JUDGE.i2.58102 has gained a 'Milk Carton' #4412.
[17:44:11]	CCA.C17-JUDGE.i2.58102 has gained a 'UU Brand Banana' #4796.
[17:44:11]	CCA.C17-JUDGE.i2.58102 has gained a 'Melon' #4420.
[17:44:11]	CCA.C17-JUDGE.i2.58102 has gained a 'Milk Carton' #4406.
[17:44:14]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Suitcase' (#4971)
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'Suitcase' #4971.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'UU Brand Banana' #4795.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'UU Brand Apple' #4424.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'Milk Carton' #4412.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'UU Brand Banana' #4796.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'Melon' #4420.
[17:44:14]	CCA.C17-JUDGE.i2.58102 has lost a 'Milk Carton' #4406.
[17:44:15]	Francisco Fernández ran 'take' on item 'Suitcase' (#896)
[17:44:15]	Francisco Fernández has gained a 'Suitcase' #896.
[17:44:15]	Francisco Fernández has gained a 'Ration' #4792.
[17:44:15]	Francisco Fernández has gained a 'UU Brand Pear' #4952.
[17:44:15]	Francisco Fernández has gained a 'Breen's Water' #4753.
[17:44:15]	Francisco Fernández has gained a 'UU Brand Pear' #4951.
[17:44:15]	Francisco Fernández has gained a 'Breen's Water' #3909.
[17:44:15]	Francisco Fernández has gained a 'Breen's Water' #3907.
[17:44:15]	Francisco Fernández has gained a 'Supplements' #3906.
[17:44:15]	Francisco Fernández has gained a 'Ration' #4936.
[17:44:17]	Francisco Fernández ran 'take' on item 'Suitcase' (#4971)
[17:44:17]	Francisco Fernández has gained a 'Suitcase' #4971.
[17:44:17]	Francisco Fernández has gained a 'UU Brand Banana' #4795.
[17:44:17]	Francisco Fernández has gained a 'UU Brand Apple' #4424.
