[14:37:03]	Joseph Kimsler has taken 3 damage from npc_metropolice.
[14:37:03]	Joseph Kimsler has taken 3 damage from npc_metropolice.
[14:37:08]	Joseph Kimsler has spawned a 'NPC [989][npc_metropolice]'.
[14:44:06]	Joseph Kimsler entered observer.
[14:44:07]	Joseph Kimsler exited observer at their location.
[14:44:08]	Joseph Kimsler entered observer.
[14:44:08]	Joseph Kimsler exited observer at their location.
[14:44:10]	Joseph Kimsler entered observer.
[14:44:19]	Joseph Kimsler exited observer at their location.
[14:44:20]	Joseph Kimsler entered observer.
[14:44:21]	Joseph Kimsler exited observer at their location.
[14:44:21]	Joseph Kimsler entered observer.
[14:44:23]	Joseph Kimsler exited observer at their location.
[14:44:26]	Joseph Kimsler entered observer.
[14:44:26]	Joseph Kimsler exited observer at their location.
[14:44:28]	Joseph Kimsler entered observer.
[14:44:31]	Joseph Kimsler exited observer at their location.
[14:44:33]	Joseph Kimsler entered observer.
[14:44:35]	Joseph Kimsler exited observer at their location.
[14:44:35]	Joseph Kimsler entered observer.
[14:44:36]	Joseph Kimsler exited observer at their location.
[14:44:38]	Joseph Kimsler entered observer.
[14:44:39]	Joseph Kimsler exited observer at their location.
[14:44:39]	Joseph Kimsler entered observer.
[14:44:45]	Joseph Kimsler exited observer at their location.
[14:44:46]	Joseph Kimsler entered observer.
[14:44:46]	Joseph Kimsler exited observer at their location.
[14:44:47]	Joseph Kimsler entered observer.
[14:45:17]	Joseph Kimsler exited observer at their location.
[14:46:10]	Joseph Kimsler entered observer.
[14:46:11]	Joseph Kimsler exited observer at their location.
[14:46:14]	Joseph Kimsler entered observer.
[14:46:14]	Joseph Kimsler exited observer at their location.
[14:46:15]	Joseph Kimsler entered observer.
[14:46:16]	Joseph Kimsler exited observer at their location.
[14:46:19]	Joseph Kimsler entered observer.
[14:46:22]	Joseph Kimsler exited observer at their location.
[14:52:49]	matt saton has connected.
[14:53:33]	matt saton loaded the character 'Joseph Kimsler'
[14:53:36]	Joseph Kimsler entered observer.
[14:53:37]	Joseph Kimsler exited observer at their location.
[14:53:40]	Joseph Kimsler has taken 113 damage from worldspawn.
[14:53:41]	matt saton loaded the character 'Bett Benneck'
[14:53:42]	Bett Benneck entered observer.
[14:53:43]	Bett Benneck exited observer at their location.
[14:53:45]	Bett Benneck entered observer.
[14:53:50]	Bett Benneck has spawned a 'NPC [989][npc_turret_floor]'.
[14:53:51]	Bett Benneck exited observer at their location.
[14:53:54]	Bett Benneck has taken 2 damage from npc_turret_floor.
[14:53:54]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:53:54]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:53:56]	Bett Benneck has spawned a 'NPC [989][npc_turret_floor]'.
[14:53:59]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:53:59]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 18 damage from npc_turret_floor.
[14:54:00]	Bett Benneck has taken 18 damage from npc_turret_floor.
[14:54:01]	Bett Benneck has taken 3 damage from npc_turret_floor.
[14:54:01]	Bett Benneck has taken 18 damage from npc_turret_floor.
[14:54:01]	Bett Benneck has taken 0 damage from npc_turret_floor.
[14:54:01]	Bett Benneck entered observer.
[14:54:10]	Bett Benneck has spawned a 'NPC [989][npc_turret_floor]'.
[14:54:11]	Bett Benneck exited observer at their location.
[14:54:12]	Bett Benneck entered observer.
[14:54:12]	Bett Benneck exited observer at their location.
[14:54:14]	Bett Benneck entered observer.
[14:55:10]	Bett Benneck exited observer at their location.
[14:55:11]	Bett Benneck entered observer.
[14:55:52]	Bett Benneck exited observer at their location.
[14:55:54]	Bett Benneck entered observer.
[14:55:55]	Bett Benneck exited observer at their location.
[14:55:56]	Bett Benneck entered observer.
[14:56:12]	Bett Benneck exited observer at their location.
[14:56:13]	Bett Benneck entered observer.
[14:56:16]	Bett Benneck exited observer at their location.
[14:56:18]	Bett Benneck entered observer.
[14:56:19]	Bett Benneck exited observer at their location.
[14:56:19]	Bett Benneck entered observer.
[14:56:23]	Bett Benneck exited observer at their location.
[14:56:23]	Bett Benneck entered observer.
[14:56:28]	Bett Benneck exited observer at their location.
[14:56:29]	Bett Benneck entered observer.
[14:56:29]	Bett Benneck exited observer at their location.
[14:56:31]	Bett Benneck entered observer.
[14:56:32]	Bett Benneck exited observer at their location.
[14:56:34]	Bett Benneck entered observer.
[14:56:36]	Bett Benneck exited observer at their location.
[14:56:36]	Bett Benneck entered observer.
[14:56:37]	Bett Benneck exited observer at their location.
[14:56:37]	Bett Benneck entered observer.
[14:56:38]	Bett Benneck exited observer at their location.
[14:56:39]	Bett Benneck entered observer.
[14:56:40]	Bett Benneck exited observer at their location.
[14:56:41]	Bett Benneck entered observer.
[14:56:45]	Bett Benneck exited observer at their location.
[14:56:46]	Bett Benneck entered observer.
[14:56:48]	Bett Benneck exited observer at their location.
[14:56:49]	Bett Benneck has taken 25 damage from worldspawn.
[14:56:52]	Bett Benneck entered observer.
[14:56:52]	Bett Benneck exited observer at their location.
[14:56:54]	Bett Benneck entered observer.
[14:58:46]	Ollie Garner has connected.
[14:59:18]	Bett Benneck exited observer at their location.
[14:59:18]	Bett Benneck entered observer.
[14:59:34]	Ollie Garner loaded the character 'Marc 'Watcher 1' Temple'
[14:59:35]	Marc 'Watcher 1' Temple entered observer.
[14:59:38]	[OOC] Marc 'Watcher 1' Temple: Yuh
[14:59:42]	Bett Benneck exited observer at their location.
[14:59:43]	Bett Benneck has taken 8 damage from worldspawn.
[14:59:45]	[OOC] Bett Benneck: ninjas iffy uh
[14:59:50]	[OOC] Bett Benneck: blicky got the stiffy uh
[14:59:50]	Bett Benneck entered observer.
[14:59:51]	Bett Benneck exited observer at their location.
[14:59:51]	Bett Benneck entered observer.
[14:59:51]	Bett Benneck exited observer at their location.
[14:59:52]	Bett Benneck entered observer.
[15:00:00]	[OOC] Marc 'Watcher 1' Temple: damn this is a shitton bigger than what the pictures make you think
[15:00:12]	[OOC] Marc 'Watcher 1' Temple: brb gotta check pie
[15:01:02]	Bett Benneck exited observer at their location.
[15:01:03]	Bett Benneck entered observer.
[15:01:06]	Bett Benneck exited observer at their location.
[15:01:07]	Bett Benneck entered observer.
[15:01:11]	Bett Benneck exited observer at their location.
[15:01:16]	Bett Benneck entered observer.
[15:01:32]	Bett Benneck exited observer at their location.
[15:01:34]	Bett Benneck entered observer.
[15:01:37]	Bett Benneck exited observer at their location.
[15:01:39]	Bett Benneck entered observer.
[15:01:39]	Bett Benneck exited observer at their location.
[15:01:42]	Bett Benneck entered observer.
[15:01:47]	[OOC] Marc 'Watcher 1' Temple: Back. Gonna check on it every five mins
[15:01:55]	Bett Benneck exited observer at their location.
[15:01:56]	Bett Benneck entered observer.
[15:01:59]	Bett Benneck exited observer at their location.
[15:02:00]	Bett Benneck entered observer.
[15:02:05]	Marc 'Watcher 1' Temple exited observer at their location.
[15:02:06]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[15:02:08]	Bett Benneck exited observer at their location.
[15:02:10]	[OOC] Bett Benneck: fuck
[15:02:14]	[OOC] Bett Benneck: why is the lighting all fuky
[15:02:15]	Bett Benneck entered observer.
[15:02:20]	Bett Benneck exited observer at their location.
[15:02:21]	Bett Benneck entered observer.
[15:02:21]	Bett Benneck exited observer at their location.
[15:02:22]	[OOC] Marc 'Watcher 1' Temple: It looks like its shutoff
[15:02:23]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[15:02:25]	[OOC] Bett Benneck: oh
[15:02:25]	Bett Benneck used command '/DoorSetHidden true'.
[15:02:27]	[OOC] Bett Benneck: yep
[15:02:27]	Bett Benneck entered observer.
[15:02:35]	Bett Benneck exited observer at their location.
[15:02:35]	Marc 'Watcher 1' Temple has spawned "Flashlight"
[15:02:36]	Bett Benneck entered observer.
[15:02:38]	Marc 'Watcher 1' Temple ran 'take' on item 'Flashlight' (#30548)
[15:02:38]	Marc 'Watcher 1' Temple has gained a 'Flashlight' #30548.
[15:02:39]	Marc 'Watcher 1' Temple entered observer.
[15:02:51]	[OOC] Bett Benneck: i love how the cubemap is a missing texture here but it wasn't in singelpalyer
[15:02:53]	[OOC] Marc 'Watcher 1' Temple: I say we keep it off for when OTA enter because spooky
[15:02:53]	Bett Benneck exited observer at their location.
[15:02:57]	Marc 'Watcher 1' Temple exited observer at their location.
[15:03:02]	[OOC] Bett Benneck: cubemap = the thing that is reflected on surfaces
[15:03:02]	Bett Benneck entered observer.
[15:03:04]	Bett Benneck exited observer at their location.
[15:03:05]	[OOC] Marc 'Watcher 1' Temple: I ain't seen a missing texture
[15:03:06]	Bett Benneck entered observer.
[15:03:08]	Bett Benneck exited observer at their location.
[15:03:09]	[OOC] Bett Benneck: no? oh
[15:03:22]	Bett Benneck entered observer.
[15:03:23]	Bett Benneck exited observer at their location.
[15:03:24]	Bett Benneck entered observer.
[15:03:24]	Bett Benneck exited observer at their location.
[15:03:29]	Bett Benneck entered observer.
[15:03:53]	[OOC] Marc 'Watcher 1' Temple: Clientside prob
[15:03:54]	Marc 'Watcher 1' Temple entered observer.
[15:04:16]	[OOC] Marc 'Watcher 1' Temple: ngl, map is gucci as FUCK
