[15:19:00]	Jefferson Jackson ran 'take' on item 'Horse Statue' (#37116)
[15:19:00]	Jefferson Jackson has gained a 'Horse Statue' #37116.
[15:19:03]	Jefferson Jackson ran 'drop' on item 'Horse Statue' (#37116)
[15:19:03]	Jefferson Jackson has lost a 'Horse Statue' #37116.
[15:19:46]	[OOC] CCA.C17-UNION.i5.94233: I love random searching people
[15:19:52]	[OOC] Jefferson Jackson: eat shit and die retard
[15:19:56]	[OOC] CCA.C17-UNION.i5.94233: I got to rummage throguh all his shit
[15:19:59]	[OOC] CCA.C17-UNION.i5.94233: and throwi t on the floor
[15:20:06]	[OOC] Jefferson Jackson: im gonna hate crime you later
[15:20:41]	[OOC] Jonathan Jackson: lmao
[15:20:54]	[OOC] Jefferson Jackson: i need a medic the zombine hurt my intesines
[15:20:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:20:57]	Jonathan Jackson destroyed a 'Locker Door' #37788.
[15:21:02]	Jonathan Jackson has gained 10 tokens.
[15:21:09]	[OOC] Jonathan Jackson: Only if you have loyalist status
[15:21:46]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:21:52]	Jonathan Jackson has taken 6 damage from npc_antlion.
[15:22:06]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:22:30]	[ME] CCA.C17-UNION.i5.94233: Sets his stunstick to high
[15:22:43]	Jefferson Jackson has taken 25 damage from CCA.C17-UNION.i5.94233.
[15:22:44]	Jefferson Jackson has taken 25 damage from CCA.C17-UNION.i5.94233.
[15:22:44]	CCA.C17-UNION.i5.94233 has killed Jefferson Jackson with ix_stunstick.
[15:22:52]	CCA.C17-UNION.i5.94233 used command '/Radio Civilian casaulty at plaza'.
[15:22:52]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:22:56]	[OOC] CCA.C17-UNION.i5.94233: I just accidently beat bill to death
[15:23:00]	Jonathan Jackson ran 'drop' on item 'Notepad' (#29210)
[15:23:00]	Jonathan Jackson has lost a 'Notepad' #29210.
[15:23:02]	[OOC] Jefferson Jackson: that was clearly not on high
[15:23:02]	Jonathan Jackson ran 'View' on item 'Notepad' (#29210)
[15:23:03]	[OOC] Jefferson Jackson: faggot
[15:23:05]	[OOC] CCA.C17-UNION.i5.94233: IT WAS LOL
[15:23:08]	[OOC] Jonathan Jackson: nice one
[15:23:11]	Jonathan Jackson ran 'View' on item 'Notepad' (#29210)
[15:23:13]	[OOC] Jefferson Jackson: bro it don't do over half my hp in a single hit
[15:23:14]	[OOC] CCA.C17-UNION.i5.94233: I mean it happens all the time
[15:23:14]	Jonathan Jackson ran 'View' on item 'Notepad' (#29210)
[15:23:44]	agentgollem has connected.
[15:23:46]	Jonathan Jackson opened the 'Crate' #244 container.
[15:23:46]	Jonathan Jackson closed the 'Crate' #244 container.
[15:23:47]	Jonathan Jackson opened the 'Crate' #244 container.
[15:23:50]	Jonathan Jackson closed the 'Crate' #244 container.
[15:23:55]	Jonathan Jackson opened the 'Crate' #214 container.
[15:23:58]	Jonathan Jackson closed the 'Crate' #214 container.
[15:24:10]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:24:25]	agentgollem loaded the character 'George Wach'
[15:24:30]	George Wach has taken 1 damage from worldspawn.
[15:24:30]	Jefferson Jackson has gained a 'AA Battery' #37994.
[15:24:30]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:24:31]	George Wach has taken 1 damage from worldspawn.
[15:24:31]	George Wach has taken 1 damage from worldspawn.
[15:24:32]	Jonathan Jackson ran 'drop' on item 'Human Science Rat Poster' (#37991)
