[21:24:09]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:24:54]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:25:39]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:25:54]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:26:09]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:26:24]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:26:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:26:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:27:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:27:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:27:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:27:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:28:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:28:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:28:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:28:42]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[21:28:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:29:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:29:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:29:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:29:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:30:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:30:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:30:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:30:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:31:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:31:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:31:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:31:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:32:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:32:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:32:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:32:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:33:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:33:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:33:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:33:42]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[21:33:55]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:34:10]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:34:25]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:34:40]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
[21:34:56]	CCA.C17-GRID.i3.69192 has taken 2 damage from CCA.C17-GRID.i3.69192.
