[15:27:27]	CCA.C17-UNION.i5.37117 used command '/ExitAct'.
[15:27:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[15:32:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[15:37:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[15:45:11]	Idk has connected.
[15:45:39]	Idk (STEAM_0:0:216840273) has disconnected.
[15:46:04]	CCA.C17-UNION.i5.37117 used the 'General Store Vendor' vendor.
[15:46:15]	CCA.C17-UNION.i5.37117 has lost 2 tokens.
[15:46:15]	CCA.C17-UNION.i5.37117 has gained a 'Paper' #39698.
[15:47:40]	DRD has connected.
[15:47:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[15:47:52]	CCA.C17-UNION.i5.37117 ran 'Edit' on item 'Paper' (#39698)
[15:48:07]	CCA.C17-UNION.i5.37117 ran 'Edit' on item 'Paper' (#39698)
[15:50:19]	DRD loaded the character 'CCA.C17-GRID.i2.36307'
[15:51:38]	DRD (STEAM_0:0:193599766) has disconnected.
[15:51:46]	[OOC] CCA.C17-UNION.i5.37117: Aww :c
[15:51:55]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:52:02]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Paper' (#39698)
[15:52:02]	CCA.C17-UNION.i5.37117 has lost a 'Paper' #39698.
[15:52:04]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:52:16]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:52:26]	CCA.C17-UNION.i5.37117 ran 'take' on item 'Paper' (#39698)
[15:52:26]	CCA.C17-UNION.i5.37117 has gained a 'Paper' #39698.
[15:52:29]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:52:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[15:53:41]	CCA.C17-UNION.i5.37117 used the 'General Store Vendor' vendor.
[15:53:45]	CCA.C17-UNION.i5.37117 has lost 2 tokens.
[15:53:45]	CCA.C17-UNION.i5.37117 has gained a 'Notepad' #39699.
[15:54:36]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:54:41]	CCA.C17-UNION.i5.37117 ran 'View' on item 'Paper' (#39698)
[15:54:47]	CCA.C17-UNION.i5.37117 ran 'Edit' on item 'Notepad' (#39699)
[15:55:42]	merc has connected.
[15:56:36]	merc (STEAM_0:0:62291558) has disconnected.
[15:57:27]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Notepad' (#39699)
[15:57:27]	CCA.C17-UNION.i5.37117 has lost a 'Notepad' #39699.
[15:57:38]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Paper' (#39698)
[15:57:38]	CCA.C17-UNION.i5.37117 has lost a 'Paper' #39698.
[15:57:41]	CCA.C17-UNION.i5.37117 destroyed a 'Paper' #39698.
[15:57:49]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[16:04:18]	Dilly_ loaded the character 'Aldre Dorve'
[16:05:11]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[18:16:35]	lasteffyben has connected.
[18:21:37]	lasteffyben (STEAM_0:0:553516269) has disconnected (timed out).
