[00:02:45]	Morgan Beck opened the '' #887 container.
[00:02:46]	Gordo Kin used the 'Crate' vendor.
[00:02:49]	Gordo Kin has gained 0 tokens.
[00:02:49]	Gordo Kin has gained a 'Charred Metal' #9274.
[00:02:49]	Morgan Beck has gained a 'Refined Metal' #9209.
[00:02:49]	Gordo Kin has gained 0 tokens.
[00:02:49]	Gordo Kin has gained a 'Charred Metal' #9275.
[00:02:49]	Gordo Kin has gained 0 tokens.
[00:02:49]	Gordo Kin has gained a 'Charred Metal' #9276.
[00:02:50]	Morgan Beck closed the '' #887 container.
[00:02:50]	Gordo Kin has gained 0 tokens.
[00:02:50]	Gordo Kin has gained a 'Charred Metal' #9277.
[00:02:50]	Gordo Kin has gained 0 tokens.
[00:02:50]	Gordo Kin has gained a 'Charred Metal' #9278.
[00:02:51]	Gordo Kin has gained 0 tokens.
[00:02:51]	Gordo Kin has gained a 'Charred Metal' #9279.
[00:02:51]	Gordo Kin has gained 0 tokens.
[00:02:51]	Gordo Kin has gained a 'Charred Metal' #9280.
[00:02:51]	Gordo Kin has gained 0 tokens.
[00:02:51]	Gordo Kin has gained a 'Charred Metal' #9281.
[00:02:52]	Gordo Kin has gained 0 tokens.
[00:02:52]	Gordo Kin has gained a 'Charred Metal' #9282.
[00:02:52]	Gordo Kin has gained 0 tokens.
[00:02:52]	Gordo Kin has gained a 'Charred Metal' #9283.
[00:02:53]	Gordo Kin has gained 0 tokens.
[00:02:53]	Gordo Kin has gained a 'Charred Metal' #9284.
[00:02:53]	Gordo Kin has gained 0 tokens.
[00:02:53]	Gordo Kin has gained a 'Charred Metal' #9285.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9283.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9279.
[00:02:57]	Gordo Kin has gained a 'Scrap Metal' #9286.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9284.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9276.
[00:02:57]	Gordo Kin has gained a 'Scrap Metal' #9287.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9280.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9285.
[00:02:57]	Gordo Kin has gained a 'Scrap Metal' #9288.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9281.
[00:02:57]	Gordo Kin has lost a 'Charred Metal' #9277.
[00:02:57]	Gordo Kin has gained a 'Scrap Metal' #9289.
[00:02:58]	Gordo Kin has lost a 'Charred Metal' #9254.
[00:02:58]	Gordo Kin has lost a 'Charred Metal' #9278.
[00:02:58]	Gordo Kin has gained a 'Scrap Metal' #9290.
[00:02:58]	Gordo Kin has lost a 'Charred Metal' #9275.
[00:02:58]	Gordo Kin has lost a 'Charred Metal' #9282.
[00:02:58]	Gordo Kin has gained a 'Scrap Metal' #9291.
[00:03:02]	Morgan Beck used the 'Product Deposit' vendor.
[00:03:05]	Morgan Beck has gained 5 tokens.
[00:03:05]	Gordo Kin used the 'Product Deposit' vendor.
[00:03:05]	Morgan Beck has gained 5 tokens.
[00:03:11]	Morgan Beck used the 'Crate' vendor.
[00:03:14]	Morgan Beck has gained 0 tokens.
[00:03:14]	Morgan Beck has gained a 'Charred Metal' #9292.
[00:03:14]	Morgan Beck has gained 0 tokens.
[00:03:14]	Morgan Beck has gained a 'Charred Metal' #9293.
[00:03:15]	Morgan Beck has gained 0 tokens.
[00:03:15]	Morgan Beck has gained a 'Charred Metal' #9294.
[00:03:15]	Morgan Beck has gained 0 tokens.
[00:03:15]	Morgan Beck has gained a 'Charred Metal' #9295.
[00:03:16]	Morgan Beck has gained 0 tokens.
[00:03:16]	Morgan Beck has gained a 'Charred Metal' #9296.
[00:03:16]	Morgan Beck has gained 0 tokens.
[00:03:16]	Morgan Beck has gained a 'Charred Metal' #9297.
[00:03:16]	Morgan Beck has gained 0 tokens.
[00:03:16]	Morgan Beck has gained a 'Charred Metal' #9298.
[00:03:17]	Gordo Kin used the 'Product Deposit' vendor.
[00:03:17]	Morgan Beck has gained 0 tokens.
[00:03:17]	Morgan Beck has gained a 'Charred Metal' #9299.
[00:03:17]	Morgan Beck has gained 0 tokens.
[00:03:17]	Morgan Beck has gained a 'Charred Metal' #9300.
[00:03:18]	Morgan Beck has gained 0 tokens.
