[00:19:37]	CCA.C08-JUDGE.i1.91412 closed the '' #886 container.
[00:19:42]	CCA.C08-JUDGE.i1.91412 used the 'Tank Deposit' vendor.
[00:19:50]	CCA.C08-JUDGE.i1.91412 opened the '' #1025 container.
[00:19:52]	[OOC] Walter H. Bennett: back
[00:19:52]	CCA.C08-JUDGE.i1.91412 closed the '' #1025 container.
[00:19:53]	CCA.C08-JUDGE.i1.91412 opened the '' #935 container.
[00:19:55]	CCA.C08-JUDGE.i1.91412 closed the '' #935 container.
[00:19:57]	CCA.C08-JUDGE.i1.91412 opened the '' #1223 container.
[00:19:58]	[OOC] James Jacob: Wb
[00:19:59]	CCA.C08-JUDGE.i1.91412 closed the '' #1223 container.
[00:19:59]	Dr. Walter Bennett loaded the character 'CCA.C08-UNION.i5.19267'
[00:19:59]	CCA.C08-JUDGE.i1.91412 opened the '' #1023 container.
[00:20:01]	CCA.C08-JUDGE.i1.91412 closed the '' #1023 container.
[00:20:02]	CCA.C08-JUDGE.i1.91412 opened the '' #1222 container.
[00:20:04]	CCA.C08-JUDGE.i1.91412 closed the '' #1222 container.
[00:20:04]	CCA.C08-JUDGE.i1.91412 opened the '' #887 container.
[00:20:06]	CCA.C08-JUDGE.i1.91412 closed the '' #887 container.
[00:20:07]	CCA.C08-UNION.i5.19267 used command '/Radio Unit is 10-8.'.
[00:20:13]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Copy that'.
[00:20:19]	[ME] Saul Zolnerkevich: waves his hand "yeah, whatever retard"
[00:20:29]	CCA.C08-JUDGE.i1.91412 used command '/Radio 10-4.'.
[00:20:37]	CCA.C08-UNION.i5.19267 used command '/Radio 10-20?'.
[00:20:40]	CCA.C08-JUDGE.i1.91412 ran 'take' on item 'Combine Worker Outfit' (#11818)
[00:20:40]	CCA.C08-JUDGE.i1.91412 has gained a 'Combine Worker Outfit' #11818.
[00:20:40]	CCA.C08-JUDGE.i1.91412 ran 'take' on item 'Combine Worker Outfit' (#11819)
[00:20:40]	CCA.C08-JUDGE.i1.91412 has gained a 'Combine Worker Outfit' #11819.
[00:20:41]	CCA.C08-JUDGE.i1.91412 ran 'take' on item 'Combine Worker Outfit' (#11820)
[00:20:41]	CCA.C08-JUDGE.i1.91412 has gained a 'Combine Worker Outfit' #11820.
