[15:57:44]	Lee Maylor has spawned 'models/props/de_nuke/storagetank.mdl'.
[15:57:45]	Lee Maylor entered observer.
[15:57:49]	Lee Maylor has spawned 'models/props/de_nuke/storagetank.mdl'.
[15:57:56]	Lee Maylor has spawned 'models/props_wasteland/coolingtank02.mdl'.
[15:58:13]	Lee Maylor has spawned 'models/props_wasteland/coolingtank02.mdl'.
[15:58:23]	Lee Maylor exited observer at their location.
[15:58:25]	Lee Maylor entered observer.
[15:58:37]	Lee Maylor exited observer at their location.
[15:58:41]	Lee Maylor entered observer.
[15:59:14]	Lee Maylor has spawned 'models/props_wasteland/coolingtank02.mdl'.
[16:00:10]	Lee Maylor has spawned 'models/props_wasteland/coolingtank02.mdl'.
[16:00:14]	Lee Maylor exited observer at their location.
[16:00:35]	Lee Maylor entered observer.
[16:01:24]	Lee Maylor has spawned 'models/props_wasteland/lighthouse_fresnel_light_base.mdl'.
[16:01:27]	Lee Maylor has spawned 'models/props_wasteland/lighthouse_fresnel_light.mdl'.
[16:01:38]	Lee Maylor has spawned 'models/props_wasteland/lighthouse_stairs.mdl'.
[16:01:42]	Lee Maylor exited observer at their location.
[16:01:42]	Lee Maylor entered observer.
[16:01:43]	Lee Maylor has spawned 'models/props_wasteland/lighthouse_stairs0b.mdl'.
[16:01:45]	Lee Maylor has spawned 'models/props_wasteland/lights_industrialcluster01a.mdl'.
[16:01:58]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[16:02:29]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[16:02:31]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02c.mdl'.
[16:02:34]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster03a.mdl'.
[16:02:51]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05a.mdl'.
[16:03:04]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster01b.mdl'.
[16:03:35]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[16:03:55]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[16:04:22]	Lee Maylor exited observer at their location.
[16:04:23]	Lee Maylor entered observer.
[16:04:47]	Lee Maylor exited observer at their location.
[16:04:49]	Lee Maylor entered observer.
[16:04:50]	Lee Maylor exited observer at their location.
[16:04:51]	Lee Maylor entered observer.
[16:04:54]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01f.mdl'.
[16:05:33]	Lee Maylor exited observer at their location.
[16:05:36]	Lee Maylor has taken 5 damage from npc_antlion.
[16:05:37]	Lee Maylor entered observer.
[16:05:51]	Lee Maylor exited observer at their location.
[16:05:53]	Lee Maylor entered observer.
[16:06:07]	Lee Maylor exited observer at their location.
[16:06:08]	Lee Maylor entered observer.
[16:06:11]	Lee Maylor exited observer at their location.
[16:06:12]	Lee Maylor has taken 15 damage from worldspawn.
[16:06:13]	Lee Maylor entered observer.
[16:06:18]	Lee Maylor exited observer at their location.
[16:06:22]	Lee Maylor entered observer.
[16:06:23]	Lee Maylor exited observer at their location.
[16:06:25]	Lee Maylor entered observer.
[16:06:26]	Lee Maylor exited observer at their location.
[16:06:27]	Lee Maylor entered observer.
