[20:53:38]	Stephen Mosely used command '/ToggleRaise'.
[20:54:47]	Stephen Mosely entered observer.
[20:54:49]	Stephen Mosely exited observer at their location.
[20:54:56]	Stephen Mosely entered observer.
[20:54:58]	Stephen Mosely exited observer at their location.
[20:55:10]	Stephen Mosely used command '/ToggleRaise'.
[20:55:11]	Stephen Mosely used command '/ToggleRaise'.
[20:55:39]	Stephen Mosely used command '/ToggleRaise'.
[20:55:43]	Stephen Mosely used command '/ToggleRaise'.
[20:56:26]	Stephen Mosely used command '/ToggleRaise'.
[20:56:45]	Stephen Mosely used command '/ToggleRaise'.
[20:56:47]	Stephen Mosely used command '/ToggleRaise'.
[20:56:53]	Stephen Mosely entered observer.
[20:56:55]	Stephen Mosely exited observer at their location.
[20:56:55]	Stephen Mosely entered observer.
[20:56:57]	Stephen Mosely exited observer at their location.
[20:56:57]	Stephen Mosely entered observer.
[20:56:57]	Stephen Mosely exited observer at their location.
[20:57:19]	Stephen Mosely used command '/ToggleRaise'.
[20:57:27]	Stephen Mosely used command '/ToggleRaise'.
[20:57:34]	Stephen Mosely used command '/ToggleRaise'.
[21:00:27]	Stephen Mosely entered observer.
[21:00:28]	Stephen Mosely exited observer at their location.
[21:00:29]	Stephen Mosely entered observer.
[21:00:29]	Stephen Mosely exited observer at their location.
[21:00:30]	Stephen Mosely entered observer.
[21:00:30]	Stephen Mosely exited observer at their location.
[21:00:32]	Stephen Mosely entered observer.
[21:00:32]	Stephen Mosely exited observer at their location.
[21:00:33]	Stephen Mosely has taken 8 damage from worldspawn.
[21:00:36]	Stephen Mosely entered observer.
[21:00:42]	Stephen Mosely exited observer at their location.
[21:00:46]	Stephen Mosely entered observer.
[21:00:53]	Stephen Mosely used command '/ToggleRaise'.
[21:01:01]	Stephen Mosely used command '/ToggleRaise'.
[21:01:02]	Stephen Mosely used command '/ToggleRaise'.
[21:01:12]	Stephen Mosely exited observer at their location.
[21:01:15]	Stephen Mosely entered observer.
[21:01:16]	Stephen Mosely exited observer at their location.
[21:01:16]	Stephen Mosely entered observer.
[21:01:16]	Stephen Mosely exited observer at their location.
[21:01:17]	Stephen Mosely entered observer.
[21:01:21]	Stephen Mosely used command '/ToggleRaise'.
[21:01:31]	Stephen Mosely exited observer at their location.
[21:06:33]	matt saton (STEAM_0:1:53097688) has disconnected.
[21:17:59]	matt saton has connected.
[21:26:09]	matt saton loaded the character 'Stephen Mosely'
[21:53:47]	matt saton (STEAM_0:1:53097688) has disconnected.
